date,drought-flood,category
1963-01-01,254.7,high drought
1963-01-02,254.7,high drought
1963-01-03,254.7,high drought
1963-01-04,254.7,high drought
1963-01-05,254.7,high drought
1963-01-06,254.7,high drought
1963-01-07,254.7,high drought
1963-01-08,254.7,high drought
1963-01-09,254.7,high drought
1963-01-10,254.7,high drought
1963-01-11,254.7,high drought
1963-01-12,254.7,high drought
1963-01-13,254.7,high drought
1963-01-14,254.7,high drought
1963-01-15,254.7,high drought
1963-01-16,254.7,high drought
1963-01-17,254.7,high drought
1963-01-18,254.7,high drought
1963-01-19,254.7,high drought
1963-01-20,254.7,high drought
1963-01-21,254.7,high drought
1963-01-22,254.7,high drought
1963-01-23,254.7,high drought
1963-01-24,254.7,high drought
1963-01-25,254.7,high drought
1963-01-26,254.7,high drought
1963-01-27,254.7,high drought
1963-01-28,254.7,high drought
1963-01-29,254.7,high drought
1963-01-30,254.7,high drought
1963-01-31,254.7,high drought
1963-02-01,241.64,moderate drought
1963-02-02,241.64,moderate drought
1963-02-03,241.64,moderate drought
1963-02-04,241.64,moderate drought
1963-02-05,241.64,moderate drought
1963-02-06,241.64,moderate drought
1963-02-07,241.64,moderate drought
1963-02-08,241.64,moderate drought
1963-02-09,241.64,moderate drought
1963-02-10,241.64,moderate drought
1963-02-11,241.64,moderate drought
1963-02-12,241.64,moderate drought
1963-02-13,241.64,moderate drought
1963-02-14,241.64,moderate drought
1963-02-15,241.64,moderate drought
1963-02-16,241.64,moderate drought
1963-02-17,241.64,moderate drought
1963-02-18,241.64,moderate drought
1963-02-19,241.64,moderate drought
1963-02-20,241.64,moderate drought
1963-02-21,241.64,moderate drought
1963-02-22,241.64,moderate drought
1963-02-23,241.64,moderate drought
1963-02-24,241.64,moderate drought
1963-02-25,241.64,moderate drought
1963-02-26,241.64,moderate drought
1963-02-27,241.64,moderate drought
1963-02-28,241.64,moderate drought
1963-03-01,387.1,high drought
1963-03-02,387.1,high drought
1963-03-03,387.1,high drought
1963-03-04,387.1,high drought
1963-03-05,387.1,high drought
1963-03-06,387.1,high drought
1963-03-07,387.1,high drought
1963-03-08,387.1,high drought
1963-03-09,387.1,high drought
1963-03-10,387.1,high drought
1963-03-11,387.1,high drought
1963-03-12,387.1,high drought
1963-03-13,387.1,high drought
1963-03-14,387.1,high drought
1963-03-15,387.1,high drought
1963-03-16,387.1,high drought
1963-03-17,387.1,high drought
1963-03-18,387.1,high drought
1963-03-19,387.1,high drought
1963-03-20,387.1,high drought
1963-03-21,387.1,high drought
1963-03-22,387.1,high drought
1963-03-23,387.1,high drought
1963-03-24,387.1,high drought
1963-03-25,387.1,high drought
1963-03-26,387.1,high drought
1963-03-27,387.1,high drought
1963-03-28,387.1,high drought
1963-03-29,387.1,high drought
1963-03-30,387.1,high drought
1963-03-31,387.1,high drought
1963-04-01,366.76,high drought
1963-04-02,366.76,high drought
1963-04-03,366.76,high drought
1963-04-04,366.76,high drought
1963-04-05,366.76,high drought
1963-04-06,366.76,high drought
1963-04-07,366.76,high drought
1963-04-08,366.76,high drought
1963-04-09,366.76,high drought
1963-04-10,366.76,high drought
1963-04-11,366.76,high drought
1963-04-12,366.76,high drought
1963-04-13,366.76,high drought
1963-04-14,366.76,high drought
1963-04-15,366.76,high drought
1963-04-16,366.76,high drought
1963-04-17,366.76,high drought
1963-04-18,366.76,high drought
1963-04-19,366.76,high drought
1963-04-20,366.76,high drought
1963-04-21,366.76,high drought
1963-04-22,366.76,high drought
1963-04-23,366.76,high drought
1963-04-24,366.76,high drought
1963-04-25,366.76,high drought
1963-04-26,366.76,high drought
1963-04-27,366.76,high drought
1963-04-28,366.76,high drought
1963-04-29,366.76,high drought
1963-04-30,366.76,high drought
1963-05-01,410.85,high drought
1963-05-02,410.85,high drought
1963-05-03,410.85,high drought
1963-05-04,410.85,high drought
1963-05-05,410.85,high drought
1963-05-06,410.85,high drought
1963-05-07,410.85,high drought
1963-05-08,410.85,high drought
1963-05-09,410.85,high drought
1963-05-10,410.85,high drought
1963-05-11,410.85,high drought
1963-05-12,410.85,high drought
1963-05-13,410.85,high drought
1963-05-14,410.85,high drought
1963-05-15,410.85,high drought
1963-05-16,410.85,high drought
1963-05-17,410.85,high drought
1963-05-18,410.85,high drought
1963-05-19,410.85,high drought
1963-05-20,410.85,high drought
1963-05-21,410.85,high drought
1963-05-22,410.85,high drought
1963-05-23,410.85,high drought
1963-05-24,410.85,high drought
1963-05-25,410.85,high drought
1963-05-26,410.85,high drought
1963-05-27,410.85,high drought
1963-05-28,410.85,high drought
1963-05-29,410.85,high drought
1963-05-30,410.85,high drought
1963-05-31,410.85,high drought
1963-06-01,385.38,high drought
1963-06-02,385.38,high drought
1963-06-03,385.38,high drought
1963-06-04,385.38,high drought
1963-06-05,385.38,high drought
1963-06-06,385.38,high drought
1963-06-07,385.38,high drought
1963-06-08,385.38,high drought
1963-06-09,385.38,high drought
1963-06-10,385.38,high drought
1963-06-11,385.38,high drought
1963-06-12,385.38,high drought
1963-06-13,385.38,high drought
1963-06-14,385.38,high drought
1963-06-15,385.38,high drought
1963-06-16,385.38,high drought
1963-06-17,385.38,high drought
1963-06-18,385.38,high drought
1963-06-19,385.38,high drought
1963-06-20,385.38,high drought
1963-06-21,385.38,high drought
1963-06-22,385.38,high drought
1963-06-23,385.38,high drought
1963-06-24,385.38,high drought
1963-06-25,385.38,high drought
1963-06-26,385.38,high drought
1963-06-27,385.38,high drought
1963-06-28,385.38,high drought
1963-06-29,385.38,high drought
1963-06-30,385.38,high drought
1963-07-01,368.45,high drought
1963-07-02,368.45,high drought
1963-07-03,368.45,high drought
1963-07-04,368.45,high drought
1963-07-05,368.45,high drought
