location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Louisiana,9.3,d_19630101,90.6,76.8,42.7,17.7,4.3,0,0,0,0,0,0
Louisiana,13.8,d_19630201,86,75.2,28.3,9.6,0.3,0,0.1,0,0,0,0
Louisiana,1.1,d_19630301,98.9,96.7,83,71.2,25.7,0,0,0,0,0,0
Louisiana,2.2,d_19630401,97.7,95.2,77.2,56.7,11.2,0,0,0,0,0,0
Louisiana,0,d_19630501,100,100,99.2,78,28.1,0,0,0,0,0,0
Louisiana,0.9,d_19630601,99.2,95.5,78.2,57,21.5,0,0,0,0,0,0
Louisiana,0.1,d_19630701,99.9,95.1,67.4,34.1,7.6,0,0,0,0,0,0
Louisiana,0.3,d_19630801,99.7,97.5,75.7,49.7,10.6,0,0,0,0,0,0
Louisiana,7.2,d_19630901,92.7,84,52.2,32.3,3.2,0,0,0,0,0,0
Louisiana,0.7,d_19631001,99.3,93.3,72.6,52.5,22.1,0,0,0,0,0,0
Louisiana,9.9,d_19631101,90.2,79.7,47.3,23.2,5.6,0,0,0,0,0,0
Louisiana,17.2,d_19631201,82.2,67.9,28.5,10.1,0.5,0,0.6,0,0,0,0
Louisiana,28.7,d_19640101,62.9,51.4,18.9,3.9,0,0,8.5,3.5,0.2,0,0
Louisiana,25.7,d_19640201,55.6,39.6,8.5,0.2,0,0,18.6,11.9,2.9,0.6,0
Louisiana,34.6,d_19640301,46.2,25.5,1.5,0,0,0,19.1,9.9,0,0,0
Louisiana,49.6,d_19640401,30.9,10.5,0.1,0,0,0,19.5,12.1,1.5,0,0
Louisiana,49.3,d_19640501,31.6,12.7,0.1,0,0,0,19,13.8,1.3,0,0
Louisiana,26.2,d_19640601,57.2,36.3,5.2,0,0,0,16.5,7.4,0,0,0
Louisiana,31.5,d_19640701,36.4,21.6,3.9,0.1,0,0,32.3,24.3,8.6,5.4,0
Louisiana,40.2,d_19640801,33.2,17.9,0.2,0,0,0,26.5,12.9,1,0,0
Louisiana,55.8,d_19640901,14.7,2.8,0,0,0,0,29.5,9.3,0,0,0
Louisiana,42.7,d_19641001,29.8,8.3,0,0,0,0,27.4,16.4,4.6,0.1,0
Louisiana,47,d_19641101,17.7,6.4,0,0,0,0,35.3,20.8,3.2,0.9,0
Louisiana,53.5,d_19641201,25.6,10.6,0.1,0,0,0,20.9,6,0.2,0,0
Louisiana,38.3,d_19650101,52.8,42.2,15.1,5.9,0.3,0,8.8,0.9,0,0,0
Louisiana,42.5,d_19650201,38.4,20.3,2.3,0.6,0,0,19.1,11.5,0,0,0
Louisiana,52,d_19650301,13.7,3.9,0,0,0,0,34.2,18.1,0.3,0,0
Louisiana,65.5,d_19650401,34.5,15.2,0.4,0,0,0,0,0,0,0,0
