start_date,end_date,label,name,timing,type,year_start,month_start,day_start,year_end,month_end,day_end,ENSO event,ENSO strength
1964-03-28,1964-09-28,pre_4,hilda,pre,6 month,1964,3,28,1964,9,28,el nino,moderate
1964-06-28,1964-09-28,pre_4,hilda,pre,3 month,1964,6,28,1964,9,28,el nino,moderate
1964-09-28,1964-10-05,hurricane_4,hilda,during,hurricane,1964,9,28,1964,10,5,el nino,moderate
1964-09-28,1964-10-05,hurricane_4,hilda,hurricane,3 month,1964,9,28,1964,10,5,el nino,moderate
1964-10-05,1965-01-05,post_4,hilda,post,3 month,1964,10,5,1965,1,5,el nino,moderate
1964-10-05,1965-04-05,post_4,hilda,post,6 month,1964,10,5,1965,4,5,el nino,moderate
1965-02-27,1965-08-27,pre_4,betsy,pre,6 month,1965,2,27,1965,8,27,el nino,strong
1965-03-23,1965-09-23,pre_ts,debbie,pre,6 month,1965,3,23,1965,9,23,el nino,strong
1965-05-27,1965-08-27,pre_4,betsy,pre,3 month,1965,5,27,1965,8,27,el nino,strong
1965-06-23,1965-09-23,pre_ts,debbie,pre,3 month,1965,6,23,1965,9,23,el nino,strong
1965-08-27,1965-09-13,hurricane_4,betsy,during,hurricane,1965,8,27,1965,9,13,el nino,strong
1965-08-27,1965-09-13,hurricane_4,betsy,hurricane,3 month,1965,8,27,1965,9,13,el nino,strong
1965-09-13,1965-12-13,post_4,betsy,post,3 month,1965,9,13,1965,12,13,el nino,strong
1965-09-13,1966-03-13,post_4,betsy,post,6 month,1965,9,13,1966,3,13,el nino,strong
1965-09-24,1965-09-30,tropical_storm,debbie,during,tropical storm,1965,9,24,1965,9,30,el nino,strong
1965-09-24,1965-09-30,tropical_storm,debbie,tropical storm,3 month,1965,9,24,1965,9,30,el nino,strong
1965-10-01,1966-01-01,post_ts,debbie,post,3 month,1965,10,1,1966,1,1,el nino,strong
1965-10-01,1966-04-01,post_ts,debbie,post,6 month,1965,10,1,1966,4,1,el nino,strong
1967-03-26,1967-09-26,pre_control,control_a,pre,6 month,1967,3,26,1967,9,26,NA,NA
1967-04-26,1967-10-26,pre_control,control_a,pre,6 month,1967,4,26,1967,10,26,NA,NA
1967-05-16,1967-08-16,pre_control,control_a,pre,3 month,1967,5,16,1967,8,16,NA,NA
1967-07-26,1967-10-26,pre_control,control_a,pre,3 month,1967,7,26,1967,10,26,NA,NA
1967-08-16,1967-08-19,control,control_a,control,3 month,1967,8,16,1967,8,19,NA,NA
1967-08-19,1967-11-19,post_control,control_a,post,3 month,1967,8,19,1967,11,19,NA,NA
1967-09-27,1967-09-30,control,control_a,control,6 month,1967,9,27,1967,9,30,NA,NA
1967-10-01,1968-04-01,post_control,control_a,post,6 month,1967,10,1,1968,4,1,NA,NA
